timestamp,oxygen_saturation_by_minute
2022-06-13 03:39:23+02:00,50.0
2022-06-13 03:40:24+02:00,50.0
2022-06-13 03:41:24+02:00,50.0
2022-06-13 03:42:24+02:00,50.0
2022-06-13 03:43:24+02:00,50.0
2022-06-13 03:44:24+02:00,50.0
2022-06-13 03:45:24+02:00,50.0
2022-06-13 03:46:24+02:00,50.0
2022-06-13 03:47:25+02:00,50.0
2022-06-13 03:48:25+02:00,50.0
2022-06-13 03:49:25+02:00,50.0
2022-06-13 20:12:00+02:00,92.3
2022-06-13 20:13:00+02:00,92.7
2022-06-13 20:14:00+02:00,92.6
2022-06-13 20:15:00+02:00,92.6
2022-06-13 20:16:00+02:00,93.1
2022-06-13 20:17:00+02:00,93.1
2022-06-13 20:18:00+02:00,93.4
2022-06-13 20:19:00+02:00,93.2
2022-06-13 20:20:00+02:00,93.4
2022-06-13 20:21:00+02:00,93.4
2022-06-13 20:22:00+02:00,93.0
2022-06-13 20:23:00+02:00,93.2
2022-06-13 20:24:00+02:00,93.1
2022-06-13 20:25:01+02:00,92.8
2022-06-13 20:26:01+02:00,92.6
2022-06-13 20:27:01+02:00,92.6
2022-06-13 20:28:01+02:00,92.5
2022-06-13 20:29:01+02:00,92.6
2022-06-13 20:30:01+02:00,92.7
2022-06-13 20:31:01+02:00,92.9
2022-06-13 20:32:01+02:00,93.2
2022-06-13 20:33:02+02:00,92.9
2022-06-13 20:34:02+02:00,93.4
2022-06-13 20:35:02+02:00,93.5
2022-06-13 20:36:02+02:00,93.0
2022-06-13 20:37:02+02:00,93.0
2022-06-13 20:38:02+02:00,93.3
2022-06-13 20:39:02+02:00,93.4
2022-06-13 20:40:02+02:00,94.0
2022-06-13 20:41:03+02:00,93.7
2022-06-13 20:42:03+02:00,93.6
2022-06-13 20:43:03+02:00,93.6
2022-06-13 20:44:03+02:00,93.2
2022-06-13 20:45:03+02:00,93.3
2022-06-13 20:46:03+02:00,93.3
2022-06-13 20:47:03+02:00,93.4
2022-06-13 20:48:04+02:00,93.4
2022-06-13 20:49:04+02:00,93.3
2022-06-13 20:50:04+02:00,93.5
2022-06-13 20:51:04+02:00,93.6
2022-06-13 20:52:04+02:00,93.8
2022-06-13 20:53:04+02:00,93.6
2022-06-13 20:54:04+02:00,93.7
2022-06-13 20:55:04+02:00,93.7
2022-06-13 20:56:04+02:00,93.6
2022-06-13 20:57:04+02:00,93.2
2022-06-13 20:58:04+02:00,93.0
2022-06-13 20:59:05+02:00,92.8
2022-06-13 21:00:05+02:00,92.8
2022-06-13 21:01:05+02:00,92.8
2022-06-13 21:02:05+02:00,93.0
2022-06-13 21:03:05+02:00,93.1
2022-06-13 21:04:05+02:00,93.4
2022-06-13 21:05:05+02:00,93.1
2022-06-13 21:06:05+02:00,93.0
2022-06-13 21:07:05+02:00,93.3
2022-06-13 21:08:05+02:00,93.3
2022-06-13 21:09:05+02:00,93.3
2022-06-13 21:10:06+02:00,93.2
2022-06-13 21:11:06+02:00,93.6
2022-06-13 21:12:06+02:00,93.7
2022-06-13 21:13:06+02:00,93.5
2022-06-13 21:14:06+02:00,92.9
2022-06-13 21:15:06+02:00,92.8
2022-06-13 21:16:06+02:00,93.1
2022-06-13 21:17:06+02:00,92.7
2022-06-13 21:18:06+02:00,93.0
2022-06-13 21:19:07+02:00,93.0
2022-06-13 21:20:07+02:00,93.2
2022-06-13 21:21:07+02:00,92.9
2022-06-13 21:22:07+02:00,93.0
2022-06-13 21:23:07+02:00,92.9
2022-06-13 21:24:07+02:00,93.0
2022-06-13 21:25:07+02:00,93.0
2022-06-13 21:26:07+02:00,92.9
